cle_obs,code_commune,nom_commune,annee_ref,type_info_geo
1191571,97416,Saint-Pierre,2013,Rattachement
1191569,97416,Saint-Pierre,2013,Rattachement
1191570,97416,Saint-Pierre,2013,Rattachement
1191578,97416,Saint-Pierre,2013,Rattachement
1191572,97416,Saint-Pierre,2013,Rattachement
1191577,97416,Saint-Pierre,2013,Rattachement
1191576,97416,Saint-Pierre,2013,Rattachement
1191575,97416,Saint-Pierre,2013,Rattachement
1191568,97416,Saint-Pierre,2013,Rattachement
1191579,97416,Saint-Pierre,2013,Rattachement
1191574,97416,Saint-Pierre,2013,Rattachement
1191573,97416,Saint-Pierre,2013,Rattachement
